id_usuario,nombre,correo,telefono,ciudad,departamento,industria,proyecto_activo,seguidores,inversion_total,fecha_registro,nivel_riesgo,edad,genero,experiencia_anios,mentor,tiene_equipo,patente_registrada,premios_ganados,fuente_financiamiento,inversion_angel,inversion_vc,inversion_gobierno,ingresos_mensuales,gastos_mensuales,margen_bruto,clientes_activos,churn_rate,nps_score,tiempo_desarrollo_meses,tecnologia_principal,lenguaje_programacion,base_datos,cloud_provider,usuarios_diarios,sesiones_dia,tiempo_promedio_sesion_min,tasa_conversion,costo_adquisicion,valor_vida_cliente,retorno_inversion,burn_rate,runway_meses,valoracion_actual,ronda_actual,objetivo_ronda,equity_ofrecido,pitch_deck_url,video_pitch_url,estado_validacion
1,Leidy Milena Ríos Ortiz,rodrigovega@example.org,(+57) 609 441 29 29,Bogotá,Valle del Cauca,Edtech,True,2336,641229.66,2025-10-05,Alto,28,Otro,24,True,False,True,0,Bootstrapped,65591.39,353748.7,5307.19,100219.99,260233.87,48.15,1805,14.03,-29,3,Móvil,Go,MongoDB,Azure,1283,3547,28.76,5.38,55.45,1057.49,416.12,62353.97,5,36513616.16,Pre-semilla,4866923.03,14.46,https://conecta-crece.com/pitch/1,https://youtube.com/watch?v=pitch1,Producto
2,Juan Carlos Silva Díaz,sandrasepulveda@example.org,3002949518,Cartagena,Valle del Cauca,E-commerce,True,1189,830257.64,2023-08-02,Alto,24,Otro,8,False,True,True,0,Gobierno,83392.08,444979.11,72966.44,185720.3,84435.21,28.69,584,18.66,-57,18,Móvil,Go,Firebase,Azure,4572,3618,20.85,12.72,390.24,2367.58,-32.34,34968.04,20,3402811.4,Serie A,1102501.39,17.48,https://conecta-crece.com/pitch/2,https://youtube.com/watch?v=pitch2,Escalando
3,Gerardo Jaramillo,krivera@example.com,018008014499,Medellín,Antioquia,SaaS,False,9627,147157.23,2024-08-01,Medio,49,Otro,13,False,True,True,4,Gobierno,27272.82,32981.46,21929.83,314095.57,316998.08,39.55,520,12.16,52,32,IoT,Java,MySQL,AWS,4408,12322,8.74,9.79,64.66,4404.18,199.55,95612.51,19,48597216.13,Semilla,2563024.29,7.66,https://conecta-crece.com/pitch/3,https://youtube.com/watch?v=pitch3,Producto
4,Alejandra Moreno,wpineda@example.net,+573268168112,Cartagena,Antioquia,Edtech,False,2696,842461.0,2023-11-15,Alto,55,M,20,False,False,True,0,VC,263616.56,582165.87,61502.83,29904.66,351301.43,76.29,701,22.23,-83,11,Móvil,Go,PostgreSQL,Azure,4332,14313,18.59,14.48,465.17,7577.13,329.43,72730.15,28,49757952.9,Serie A,2218595.42,17.94,https://conecta-crece.com/pitch/4,https://youtube.com/watch?v=pitch4,Idea
5,Teresa Yuliana Castrillón,sandraortiz@example.net,01 8007 630 572,Bogotá,Valle del Cauca,Fintech,True,9691,251666.09,2025-09-02,Medio,36,M,3,True,True,True,0,VC,21257.2,166603.24,133795.56,107904.17,53618.89,75.49,4677,17.71,-38,33,Blockchain,JavaScript,MySQL,AWS,3541,5824,13.28,7.27,367.25,6766.31,491.29,14349.7,28,36437858.06,Pre-semilla,1280848.85,9.76,https://conecta-crece.com/pitch/5,https://youtube.com/watch?v=pitch5,Escalando
6,Yuliana Dora Solano,alejandrogarcia@example.net,+573289284499,Medellín,Valle del Cauca,Agrotech,True,1285,144481.39,2025-08-31,Medio,50,Otro,4,True,True,True,1,Angel,121924.22,336950.89,172930.08,451318.99,66523.14,10.15,3198,8.69,100,32,IA,Go,Firebase,Google Cloud,1565,4881,7.31,1.35,370.51,703.48,122.48,9763.52,33,25192234.11,Semilla,331553.92,17.7,https://conecta-crece.com/pitch/6,https://youtube.com/watch?v=pitch6,MVP
7,Carlos Gil,mendozajose@example.org,303 470 63 36,Bogotá,Antioquia,Agrotech,True,9383,73178.73,2023-10-27,Bajo,37,Otro,20,True,True,False,5,Crowdfunding,169568.08,221458.89,52153.14,335193.26,126222.2,28.59,1072,20.48,-24,32,IA,Python,MySQL,DigitalOcean,4622,1658,3.12,3.59,139.95,9339.27,434.48,88530.67,26,14320870.82,Serie B,4177037.53,22.59,https://conecta-crece.com/pitch/7,https://youtube.com/watch?v=pitch7,Idea
8,Alejandro Romero,ortegaliliana@example.org,325 550 96 60,Cartagena,Valle del Cauca,SaaS,True,2250,669523.89,2023-05-31,Alto,38,M,4,True,False,False,4,Angel,215283.66,142518.12,126847.59,132727.97,195821.92,73.37,416,3.68,8,20,Web,Python,MongoDB,Google Cloud,2155,2667,22.5,8.5,219.57,195.73,-8.62,88895.11,12,27324955.43,Serie A,2933422.35,8.7,https://conecta-crece.com/pitch/8,https://youtube.com/watch?v=pitch8,MVP
9,Henry Ochoa Mendoza,evelandia@example.net,+573217396175,Cali,Cundinamarca,Healthtech,True,4138,46619.71,2024-12-02,Bajo,28,F,25,False,True,True,1,Angel,264424.86,17350.45,147312.89,166760.55,372381.7,66.16,2032,8.74,79,9,Blockchain,Python,Firebase,Google Cloud,1644,13398,27.64,5.57,412.06,8726.1,72.61,67703.15,28,16480271.36,Pre-semilla,4836101.07,11.98,https://conecta-crece.com/pitch/9,https://youtube.com/watch?v=pitch9,Escalando
10,Karen Margarita Sánchez López,danielazapata@example.com,573229051643,Cartagena,Valle del Cauca,Fintech,True,4329,681120.53,2025-09-20,Alto,33,Otro,9,True,True,False,2,VC,130918.17,688965.09,23129.16,449852.86,76679.45,13.11,3572,1.05,37,15,IA,Go,MySQL,Azure,2581,10888,25.59,10.94,157.16,3161.92,174.62,43228.04,21,27765182.64,Semilla,2131209.35,28.51,https://conecta-crece.com/pitch/10,https://youtube.com/watch?v=pitch10,MVP
